model,class,precision,recall,f1,support
LogReg,HC (0),0.5242718446601942,0.5625,0.542713567839196,192
LogReg,PD (1),0.8472727272727273,0.8262411347517731,0.8366247755834829,564
LogReg,macro avg,0.6857722859664608,0.6943705673758865,0.6896691717113395,756
LogReg,weighted avg,0.7652407570854173,0.7592592592592593,0.7619806593309657,756
SVM (RBF),HC (0),0.6439393939393939,0.4427083333333333,0.5246913580246914,192
SVM (RBF),PD (1),0.8285256410256411,0.9166666666666666,0.8703703703703703,564
SVM (RBF),macro avg,0.7362325174825175,0.6796875,0.6975308641975309,756
SVM (RBF),weighted avg,0.7816465941465941,0.7962962962962963,0.7825788751714676,756
RandomForest,HC (0),0.7640449438202247,0.3541666666666667,0.48398576512455516,192
RandomForest,PD (1),0.8140929535232384,0.9627659574468085,0.8822095857026807,564
RandomForest,macro avg,0.7890689486717315,0.6584663120567376,0.683097675413618,756
RandomForest,weighted avg,0.8013823478843778,0.8082010582010583,0.7810733773018869,756
XGBoost,HC (0),0.8110236220472441,0.5364583333333334,0.64576802507837,192
XGBoost,PD (1),0.8585055643879174,0.9574468085106383,0.9052808046940486,564
XGBoost,macro avg,0.8347645932175807,0.7469525709219859,0.7755244148862093,756
XGBoost,weighted avg,0.8464466583966352,0.8505291005291006,0.8393727971726065,756
