seq,NonPD,PD
Ax_T1+C_SE,0,39
Ax_T1_3D_fSPGR,138,0
Ax_T1_FSE,0,19
Ax_T1_SE,0,72
Ax_T1_SE+C,0,19
Ax_T1_memp,0,36
BRAIN-D.K_T1_SE_TRA,21,21
BRAIN-D.K_T1_SE_TRAGD,19,0
BRAIN_PZ_t1_tra,0,37
BRAIN_T1W_SE_TRA,22,17
BRAIN_T1W_SE_TRA+C,18,0
FL08C_Ax_T1_SE,0,18
FL08D_Ax_T1_SE,13,0
FL_C_Ax_T1,0,17
ROUTINE_t1_se_tra,0,19
T1W_3D_FFE,0,97
T1W_FFE,0,20
T1W_SE,0,50
T1W_SE_CLEAR,0,19
T1W_SE_GD,22,10
T1W_SE_GD_011_copy001,0,1
T1W_SE_GD_012_copy001,0,1
T1W_SE_GD_014_copy001,0,1
T1W_SE_GD_016_copy001,0,1
T1W_SE_GD_018_copy001,0,1
T1W_SE_TRA,23,0
T1W_TSE,23,0
T1W_TSE_iv,23,0
VsT1W_3D_TFE_SENSE,26,0
eT1W_SE_TRA,22,0
sT1W_3D_FFE_iv,156,0
sT1W_3D_TFE_GD,0,53
t1_blade_tra_dark-fl,41,0
t1_mpr_tra,239,512
t1_mpr_tra_new,0,318
t1_mprage_sag_p2_iso_1,0,94
t1_mprage_tra_iso,0,200
t1_mprage_tra_p2_iso,265,114
t1_mprage_tra_p2_iso_1.0,91,113
t1_se__tra,20,0
t1_se_r_tra,19,0
t1_se_tra,0,143
t1_se_tra+C,0,21
