model,protocol,accuracy,balanced_acc,sensitivity,specificity,roc_auc,n_test,epochs_run
smallcnn,Image-level (leaky),0.9680365296803652,0.9695143884892086,0.9640287769784173,0.975,0.9916167066346923,657,30
smallcnn,Scan-level (honest),0.9287128712871288,0.9361031609312336,0.9158200290275762,0.956386292834891,0.9712030166976384,1010,6
vgg16,Image-level (leaky),0.9710806697108066,0.9701438848920864,0.973621103117506,0.9666666666666667,0.9959032773780975,657,7
vgg16,Scan-level (honest),0.693069306930693,0.6094796287002248,0.8388969521044993,0.38006230529595014,0.7158552961762272,1010,6
resnet50,Image-level (leaky),0.9528158295281582,0.9592925659472422,0.935251798561151,0.9833333333333333,0.9943245403677059,657,30
resnet50,Scan-level (honest),0.6514851485148515,0.5107813481997929,0.8969521044992743,0.12461059190031153,0.583449760138175,1010,6
densenet121,Image-level (leaky),0.9452054794520548,0.9497601918465228,0.9328537170263789,0.9666666666666667,0.9812649880095924,657,30
densenet121,Scan-level (honest),0.7742574257425743,0.765491547187897,0.7895500725689405,0.7414330218068536,0.8609253557234512,1010,7
efficientnet_b0,Image-level (leaky),0.9497716894977168,0.9489358513189448,0.9520383693045563,0.9458333333333333,0.9874200639488409,657,21
efficientnet_b0,Scan-level (honest),0.8207920792079207,0.7305476807328333,0.9782293178519593,0.48286604361370716,0.8574212480049193,1010,6
